                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  170290155 |  249999905 |   80290395 |  170484218
  Cycles                             |  134720580 |  134720580 |  134720580 |  134720580
  IPC                                |       1.26 |       1.86 |       0.60 |       1.27
  Time (ns)                          |   39623700 |   39623700 |   39623700 |   39623700
  Idle time (ns)                     |         -1 |        177 |        -62 |         -3
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    9508032 |    8817242 |    1089946 |    9534676
  num incorrect                      |    1598451 |        378 |         25 |    1603259
  misprediction rate                 |     14.39% |      0.00% |      0.00% |     14.39%
  mpki                               |       9.39 |       0.00 |       0.00 |       9.40
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   19733072 |   21253560 |    6094685 |   19762084
    num misses                       |         12 |         11 |          4 |         12
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   82231588 |   82958077 |   26976028 |   82325740
    num misses                       |       4760 |      48169 |     184343 |       4761
    miss rate                        |      0.01% |      0.06% |      0.68% |      0.01%
    mpki                             |       0.03 |       0.19 |       2.30 |       0.03
  L2 TLB                             |            |            |            |           
    num accesses                     |       4772 |      48180 |     184347 |       4773
    num misses                       |        510 |      44630 |     184343 |        510
    miss rate                        |     10.69% |     92.63% |    100.00% |     10.69%
    mpki                             |       0.00 |       0.18 |       2.30 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   19733072 |   21253560 |    6094685 |   19762084
    num cache misses                 |        285 |        170 |         31 |        285
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   82231588 |   82958077 |   26976028 |   82325740
    num cache misses                 |    1632077 |    2627536 |    1672165 |    1635327
    miss rate                        |      1.98% |      3.17% |      6.20% |      1.99%
    mpki                             |       9.58 |      10.51 |      20.83 |       9.59
  Cache L2                           |            |            |            |           
    num cache accesses               |    1656267 |    2847556 |    1672224 |    1659698
    num cache misses                 |      38822 |    1062294 |    1558396 |      38325
    miss rate                        |      2.34% |     37.31% |     93.19% |      2.31%
    mpki                             |       0.23 |       4.25 |      19.41 |       0.22
DRAM summary                         |            |            |            |           
  num dram accesses                  |    5837881 |          0 |          0 |          0
  average dram access latency (ns)   |     561.21 |        inf |        inf |        inf
  average dram queueing delay        |     497.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     73.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
