                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  249999891 |  118608381 |  146287394 |  152356813
  Cycles                             |  324103300 |  324103300 |  324103300 |  324103300
  IPC                                |       0.77 |       0.37 |       0.45 |       0.47
  Time (ns)                          |   95324500 |   95324500 |   95324500 |   95324500
  Idle time (ns)                     |        393 |         62 |         -0 |          1
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   32989864 |   17767892 |   24186813 |    2334457
  num incorrect                      |    1966370 |    1219511 |    2455730 |         60
  misprediction rate                 |      5.63% |      6.42% |      9.22% |      0.00%
  mpki                               |       7.87 |      10.28 |      16.79 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   39309092 |   19572796 |   16575424 |   12220282
    num misses                       |    1550346 |     168956 |         77 |         11
    miss rate                        |      3.94% |      0.86% |      0.00% |      0.00%
    mpki                             |       6.20 |       1.42 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  106232491 |   54839951 |   51546948 |   55068197
    num misses                       |     473248 |     911193 |     654766 |     309327
    miss rate                        |      0.45% |      1.66% |      1.27% |      0.56%
    mpki                             |       1.89 |       7.68 |       4.48 |       2.03
  L2 TLB                             |            |            |            |           
    num accesses                     |    2023594 |    1080149 |     654843 |     309338
    num misses                       |     346403 |     670772 |     305373 |     309334
    miss rate                        |     17.12% |     62.10% |     46.63% |    100.00%
    mpki                             |       1.39 |       5.66 |       2.09 |       2.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   39309092 |   19572796 |   16575424 |   12220282
    num cache misses                 |      74234 |        665 |        788 |         64
    miss rate                        |      0.19% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.30 |       0.01 |       0.01 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  106232491 |   54839951 |   51546948 |   55068197
    num cache misses                 |    1151424 |    2757194 |    5873770 |    3449142
    miss rate                        |      1.08% |      5.03% |     11.39% |      6.26%
    mpki                             |       4.61 |      23.25 |      40.15 |      22.64
  Cache L2                           |            |            |            |           
    num cache accesses               |    1233278 |    3293640 |    6363776 |    3736630
    num cache misses                 |     283830 |     752147 |    1053164 |    2216193
    miss rate                        |     23.01% |     22.84% |     16.55% |     59.31%
    mpki                             |       1.14 |       6.34 |       7.20 |      14.55
DRAM summary                         |            |            |            |           
  num dram accesses                  |   17181124 |          0 |          0 |          0
  average dram access latency (ns)   |     920.60 |        inf |        inf |        inf
  average dram queueing delay        |     856.79 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     90.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
