                                     | Core 0    
  Instructions                       |  249999902
  Cycles                             |  279930500
  IPC                                |       0.89
  Time (ns)                          |   82332500
  Idle time (ns)                     |        -16
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   25087685
  num incorrect                      |    5077565
  misprediction rate                 |     16.83%
  mpki                               |      20.31
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   27553630
    num misses                       |          1
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  113937461
    num misses                       |    1128241
    miss rate                        |      0.99%
    mpki                             |       4.51
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   27553630
    num cache misses                 |         13
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |  113937461
    num cache misses                 |    1621737
    miss rate                        |      1.42%
    mpki                             |       6.49
  Cache L2                           |           
    num cache accesses               |    1937953
    num cache misses                 |     348820
    miss rate                        |     18.00%
    mpki                             |       1.40
DRAM summary                         |           
  num dram accesses                  |    1156663
  average dram access latency (ns)   |      64.88
  average dram queueing delay        |       1.07
  average dram bandwidth utilization |      7.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
