                                     | Core 0     
  Instructions                       |   249999892
  Cycles                             |  1711466160
  IPC                                |        0.15
  Time (ns)                          |   503372400
  Idle time (ns)                     |         -74
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    65916099
  num incorrect                      |     7751283
  misprediction rate                 |      10.52%
  mpki                               |       31.01
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    26733695
    num misses                       |        8739
    miss rate                        |       0.03%
    mpki                             |        0.03
  D-TLB                              |            
    num accesses                     |   106390247
    num misses                       |     1568890
    miss rate                        |       1.47%
    mpki                             |        6.28
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    26733695
    num cache misses                 |         643
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |   106390247
    num cache misses                 |    23245464
    miss rate                        |      21.85%
    mpki                             |       92.98
  Cache L2                           |            
    num cache accesses               |    23249877
    num cache misses                 |     4876784
    miss rate                        |      20.98%
    mpki                             |       19.51
DRAM summary                         |            
  num dram accesses                  |    23232048
  average dram access latency (ns)   |       78.85
  average dram queueing delay        |       15.04
  average dram bandwidth utilization |      23.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
