                                     | Core 0    
  Instructions                       |  249999892
  Cycles                             |  262758120
  IPC                                |       0.95
  Time (ns)                          |   77281800
  Idle time (ns)                     |        -73
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   64319359
  num incorrect                      |    4122363
  misprediction rate                 |      6.02%
  mpki                               |      16.49
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   38208789
    num misses                       |          2
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   80810049
    num misses                       |      81604
    miss rate                        |      0.10%
    mpki                             |       0.33
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   38208789
    num cache misses                 |         19
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   80810049
    num cache misses                 |    4847938
    miss rate                        |      6.00%
    mpki                             |      19.39
  Cache L2                           |           
    num cache accesses               |    4848082
    num cache misses                 |     113146
    miss rate                        |      2.33%
    mpki                             |       0.45
DRAM summary                         |           
  num dram accesses                  |    1397608
  average dram access latency (ns)   |      70.58
  average dram queueing delay        |       6.78
  average dram bandwidth utilization |      9.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
