                                     | Core 0      
  Instructions                       |    249999890
  Cycles                             |    314113080
  IPC                                |         0.80
  Time (ns)                          |     92386200
  Idle time (ns)                     |          -80
  Idle time (%)                      |        -0.0%
Branch predictor stats               |             
  num correct                        |     41253113
  num incorrect                      |      3289666
  misprediction rate                 |        7.39%
  mpki                               |        13.16
TLB Summary                          |             
  I-TLB                              |             
    num accesses                     |     40348547
    num misses                       |            4
    miss rate                        |        0.00%
    mpki                             |         0.00
  D-TLB                              |             
    num accesses                     |     61866904
    num misses                       |        95224
    miss rate                        |        0.15%
    mpki                             |         0.38
Cache Summary                        |             
  Cache L1-I                         |             
    num cache accesses               |     40348547
    num cache misses                 |           26
    miss rate                        |        0.00%
    mpki                             |         0.00
  Cache L1-D                         |             
    num cache accesses               |     61866904
    num cache misses                 |      6092215
    miss rate                        |        9.85%
    mpki                             |        24.37
  Cache L2                           |             
    num cache accesses               |      8457110
    num cache misses                 |          156
    miss rate                        |        0.00%
    mpki                             |         0.00
DRAM summary                         |             
  num dram accesses                  |      8450120
  average dram access latency (ns)   |  -1089714.64
  average dram queueing delay        |  -1089783.45
  average dram bandwidth utilization |       91.00%
Coherency Traffic                    |             
  num loads from dram                |            0
  num loads from dram cache          |            0
  num loads from remote cache        |            0
