                                     | Core 0     
  Instructions                       |   249999887
  Cycles                             |  1165853880
  IPC                                |        0.21
  Time (ns)                          |   342898200
  Idle time (ns)                     |         -54
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    50267332
  num incorrect                      |     4291478
  misprediction rate                 |       7.87%
  mpki                               |       17.17
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    38615026
    num misses                       |           3
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   103876960
    num misses                       |    18220802
    miss rate                        |      17.54%
    mpki                             |       72.88
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    38615026
    num cache misses                 |          67
    miss rate                        |       0.00%
    mpki                             |        0.00
  Cache L1-D                         |            
    num cache accesses               |   103876960
    num cache misses                 |    24771574
    miss rate                        |      23.85%
    mpki                             |       99.09
  Cache L2                           |            
    num cache accesses               |    28118499
    num cache misses                 |     4700810
    miss rate                        |      16.72%
    mpki                             |       18.80
DRAM summary                         |            
  num dram accesses                  |    21727748
  average dram access latency (ns)   |      224.87
  average dram queueing delay        |      156.06
  average dram bandwidth utilization |      63.00%
Coherency Traffic                    |            
  num loads from dram                |           0
  num loads from dram cache          |           0
  num loads from remote cache        |           0
