                                     | Core 0    
  Instructions                       |  249999894
  Cycles                             |  485714140
  IPC                                |       0.51
  Time (ns)                          |  142857100
  Idle time (ns)                     |        -37
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   37917915
  num incorrect                      |    2481608
  misprediction rate                 |      6.14%
  mpki                               |       9.93
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   41057017
    num misses                       |     326989
    miss rate                        |      0.80%
    mpki                             |       1.31
  D-TLB                              |           
    num accesses                     |  115753894
    num misses                       |    1990535
    miss rate                        |      1.72%
    mpki                             |       7.96
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   41057017
    num cache misses                 |        747
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |  115753894
    num cache misses                 |    6060676
    miss rate                        |      5.24%
    mpki                             |      24.24
  Cache L2                           |           
    num cache accesses               |    7180869
    num cache misses                 |    1643427
    miss rate                        |     22.89%
    mpki                             |       6.57
DRAM summary                         |           
  num dram accesses                  |    6162876
  average dram access latency (ns)   |     101.69
  average dram queueing delay        |      32.88
  average dram bandwidth utilization |     43.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
